Dateyyymm,Year,Month,Pack_Year,UBNL58_lb,CAUS_Total,USD_Cost,CADUSDEXCH,Dock_Cost_CAD,log_CAUS_Total,log_USD_Cost,log_UBNL58_lb,log_CADUSDEXCH,log_Dock_Cost_CAD,Market_Shock_Factor,Season_Factor_1,Pandemic_Shock,Extra_Demand_Factor,Tariff_Shock,Tariff_Amt,Predicted_Price_Tariff_Adjusted,Lower_CI,Upper_CI,Non_Canada_Imports_Lbs
7/1/13,2013,7,2013,4.91,16174650,2.749134699,1.0401,1.83,16.87452721,1.089919932,1.591273942,0.039316862,0.604315967,0,0.043904885,0,0.043904885,0,0,4.626646148,4.425749712,4.836661802,2895856
8/1/13,2013,8,2013,5.16,3847464,2.74887041,1.0402,1.83,15.40638625,1.090016072,1.640936579,0.039413002,0.604315967,0,0.010443655,0,0.010443655,0,0,4.798595008,4.605090549,5.000230462,4814644
9/1/13,2013,9,2013,5.2,1447734,2.765085582,1.0341,1.83,14.70864402,1.084134553,1.648658626,0.033531483,0.604315967,0,0.003929766,0,0.003929766,0,0,4.898035033,4.69337762,5.11161665,1456267
10/1/13,2013,10,2013,5.2,426068,2.758683068,1.0365,1.83,13.83605017,1.086452722,1.648658626,0.035849653,0.604315967,0,0.00115653,0,0.00115653,0,0,5.030456655,4.804906734,5.266594246,950852
11/1/13,2013,11,2013,5.24,443396,2.726590064,1.0487,1.83,14.1808798,1.098154371,1.656321498,0.047551302,0.604315967,0,0.001203565,0,0.001203565,0,0,4.972079763,4.75940508,5.194257844,1371047
12/1/13,2013,12,2013,5.25,301871,2.688140453,1.0637,1.83,14.23709308,1.112356466,1.658228077,0.061753396,0.604315967,0,0,0,1,0,0,4.878036902,4.682028542,5.082250953,749403
1/1/14,2014,1,2013,5.36,197358,2.612971763,1.0943,1.83,13.11802799,1.140717959,1.678963975,0.090114889,0.604315967,0,0,0,1,0,0,5.040316622,4.820735907,5.269899064,682488
2/1/14,2014,2,2013,5.4,106030,2.587435526,1.1051,1.83,11.65020607,1.150538898,1.686398954,0.099935829,0.604315967,0,0,0,1,0,0,5.274328637,4.989899879,5.57497009,665797
3/1/14,2014,3,2013,5.4,90832,2.573926546,1.1109,1.83,12.37602637,1.155773567,1.686398954,0.105170498,0.604315967,0,0,0,1,0,0,5.151177997,4.902987744,5.411931693,381429
4/1/14,2014,4,2014,5.4,4679550,3.27031577,1.0989,2.3,15.53093905,1.373505905,1.686398954,0.094309679,0.832909123,0,0,0,1,0,0,5.485781649,5.28693581,5.692106238,693255
5/1/14,2014,5,2014,5.1,23518882,3.300348976,1.0889,2.3,17.47955112,1.364364238,1.62924054,0.085168012,0.832909123,0,0,0,1,0,0,5.162513649,4.910030497,5.427979968,496210
6/1/14,2014,6,2014,5.11,30413015,3.319248176,1.0827,2.3,17.72304836,1.358654147,1.631199404,0.079457921,0.832909123,0,0.015594046,0,0.015594046,0,0,5.232151878,5.000230089,5.474830715,632249
7/1/14,2014,7,2014,5.22,18333321,3.347070876,1.0737,2.3,17.12415816,1.350306853,1.652497402,0.071110627,0.832909123,0,0.009400273,0,0.009400273,0,0,5.326735533,5.10257332,5.560745462,1478586
8/1/14,2014,8,2014,5.25,6037994,3.29037722,1.0922,2.3,16.02503298,1.367390236,1.658228077,0.088194011,0.832909123,0,0.003095936,0,0.003095936,0,0,5.495733614,5.297004418,5.701918589,2101494
9/1/14,2014,9,2014,5.25,1721268,3.263485289,1.1012,2.3,14.85706455,1.37559672,1.658228077,0.096400494,0.832909123,0,0.000882567,0,0.000882567,0,0,5.693912795,5.496212585,5.898724333,1684798
10/1/14,2014,10,2014,5.25,486513,3.204128031,1.1216,2.3,14.07495981,1.393952463,1.658228077,0.114756237,0.832909123,0,0.000249456,0,0.000249456,0,0,5.822410927,5.61545475,6.036994423,2203275
11/1/14,2014,11,2014,5.25,369553,3.171888791,1.133,2.3,13.41484342,1.404065208,1.658228077,0.124868982,0.832909123,0,0.000189486,0,0.000189486,0,0,5.937099693,5.707584654,6.175844058,1651923
12/1/14,2014,12,2014,5.25,406663,3.114707922,1.1538,2.3,13.75185272,1.422257068,1.658228077,0.143060843,0.832909123,0,0,0,1,0,0,5.765419472,5.581123083,5.955801583,1254727
1/1/15,2015,1,2014,5.25,571873,2.965384933,1.2119,2.3,13.98837504,1.471385602,1.658228077,0.192189376,0.832909123,0,0,0,1,0,0,5.670803585,5.507238317,5.83922675,1365558
2/1/15,2015,2,2014,5.21,336312,2.875230018,1.2499,2.3,13.52809245,1.502259774,1.650579856,0.223063548,0.832909123,0,0,0,1,0,0,5.714212888,5.530994075,5.903500977,699785
3/1/15,2015,3,2014,5.14,401861,2.848565314,1.2616,2.3,13.55264207,1.511576982,1.637053079,0.232380757,0.832909123,0,0,0,1,0,0,5.696671568,5.510651254,5.888971277,1301401
4/1/15,2015,4,2015,4.98,1959885,3.101454266,1.2343,2.45,14.68522821,1.552879135,1.605429891,0.210504008,0.896088025,0,0,0,1,0,0,5.770672255,5.614585212,5.931098562,1452713
5/1/15,2015,5,2015,4.78,14287587,3.14399228,1.2176,2.45,16.91158171,1.539256835,1.564440547,0.196881708,0.896088025,0,0,0,1,0,0,5.39391617,5.18646767,5.609662201,783916
6/1/15,2015,6,2015,4.89,40660646,3.097689756,1.2358,2.45,17.94725077,1.554093661,1.587192303,0.211718534,0.896088025,0,0.034531521,0,0.034531521,0,0,5.340767467,5.136994503,5.552623644,1424578
7/1/15,2015,7,2015,4.95,18491781,2.974687233,1.2869,2.45,17.15468373,1.594611353,1.599387577,0.252236226,0.896088025,0,0.015704358,0,0.015704358,0,0,5.3906624,5.188926576,5.600241337,1952918
8/1/15,2015,8,2015,4.92,5602594,2.912228984,1.3145,2.45,15.94369321,1.615831492,1.593308531,0.273456365,0.896088025,0,0.004758067,0,0.004758067,0,0,5.549536812,5.347119694,5.759616503,2988794
9/1/15,2015,9,2015,4.9,1579360,2.886754393,1.3261,2.45,15.02794278,1.624617431,1.589235205,0.282242304,0.896088025,0,0.00134129,0,0.00134129,0,0,5.691957111,5.479014027,5.913176274,1657714
10/1/15,2015,10,2015,4.95,1890310,2.928940321,1.307,2.45,14.77803505,1.610109562,1.599387577,0.267734435,0.896088025,0,0.001605368,0,0.001605368,0,0,5.762530133,5.559753881,5.972702075,1527434
11/1/15,2015,11,2015,5.06,749831,2.883709981,1.3275,2.45,14.27502436,1.625672601,1.621366483,0.283297474,0.896088025,0,0.000636803,0,0.000636803,0,0,5.826237457,5.598859503,6.062849565,1848668
12/1/15,2015,12,2015,5.17,696312,2.791602859,1.3713,2.45,13.96969752,1.658134322,1.642872689,0.315759195,0.896088025,0,0,0,1,0,0,5.728212601,5.494524704,5.97183949,1708454
1/1/16,2016,1,2015,5.34,344780,2.690368262,1.4229,2.45,13.62469987,1.69507217,1.675225653,0.352697043,0.896088025,0,0,0,1,0,0,5.713262695,5.425435093,6.016359991,1501865
2/1/16,2016,2,2015,5.62,317312,2.775009061,1.3795,2.45,13.15321455,1.664096242,1.726331664,0.321721115,0.896088025,0,0,0,1,0,0,5.866115447,5.602397057,6.142247699,2150084
3/1/16,2016,3,2015,5.62,185028,2.897460642,1.3212,2.45,12.73249501,1.620915542,1.726331664,0.278540415,0.896088025,0,0,0,1,0,0,6.029312325,5.786945876,6.281829465,2094783
4/1/16,2016,4,2016,5.8,9561392,3.657252087,1.2817,3,16.18546267,1.793086713,1.757857918,0.248187322,1.098612289,0,0,0,1,0,0,6.24392539,6.025016214,6.470788274,1428301
5/1/16,2016,5,2016,5.89,31139395,3.620529852,1.2947,3,17.66038306,1.803178399,1.773255998,0.258279008,1.098612289,0,0,0,1,0,0,5.942430663,5.66424197,6.234282076,1471355
6/1/16,2016,6,2016,6.47,18656961,3.636822096,1.2889,3,17.32920646,1.798688533,1.867176109,0.253789141,1.098612289,0,0.156334196,0,0.156334196,0,0,6.401289202,5.958343877,6.877163235,2109987
7/1/16,2016,7,2016,6.66,15301476,3.592779949,1.3047,3,16.81961796,1.810872521,1.896119485,0.265973129,1.098612289,0,0.128217234,0,0.128217234,0,0,6.428880329,6.062164408,6.817779839,3634209
8/1/16,2016,8,2016,6.85,5456859,3.60687904,1.2996,3,15.87977247,1.806955916,1.924248652,0.262056525,1.098612289,0,0.045725221,0,0.045725221,0,0,6.468923566,6.273995426,6.66990797,3279866
9/1/16,2016,9,2016,7.12,1302209,3.576879054,1.3105,3,14.92496717,1.815308135,1.962907725,0.270408744,1.098612289,0,0.010911734,0,0.010911734,0,0,6.582606101,6.378815772,6.792907121,2926339
10/1/16,2016,10,2016,7.54,425071,3.538537027,1.3247,3,14.37170909,1.82608541,2.020222182,0.281186019,1.098612289,0,0.003561841,0,0.003561841,0,0,6.662764683,6.436194035,6.897311203,2008402
11/1/16,2016,11,2016,7.93,190887,3.486944878,1.3443,3,13.99154908,1.840772823,2.070653036,0.295873431,1.098612289,0,0.001599519,0,0.001599519,0,0,6.708572429,6.460353271,6.966328643,2059274
12/1/16,2016,12,2016,7.95,262797,3.512814748,1.3344,3,13.46430207,1.833381144,2.073171929,0.288481753,1.098612289,0,0,0,1,0,0,6.726760515,6.499507875,6.96195895,1762505
1/1/17,2017,1,2016,7.95,234243,3.552751251,1.3194,3,13.27405733,1.822076479,2.073171929,0.277177088,1.098612289,0,0,0,1,0,0,6.790953943,6.55704505,7.033207046,3079393
2/1/17,2017,2,2016,7.95,233831,3.575514874,1.311,3,13.39224394,1.815689596,2.073171929,0.270790205,1.098612289,0,0,0,1,0,0,6.778425295,6.550415157,7.014372125,1621563
3/1/17,2017,3,2016,7.95,271598,3.502054539,1.3385,3,13.13434135,1.836448975,2.073171929,0.291549584,1.098612289,0,0,0,1,0,0,6.790874566,6.547174466,7.043645715,1377553
4/1/17,2017,4,2017,7.95,5799183,5.10484111,1.3437,4.39,15.75684353,2.221043333,2.073171929,0.295427003,1.479329227,0,0,0,1,0,0,7.896928332,7.617432187,8.186679651,849962
5/1/17,2017,5,2017,7.18,25144413,5.040322581,1.3609,4.39,17.54642793,2.233762575,1.971299383,0.308146246,1.479329227,0,0,0,1,0,0,7.430557865,7.08344992,7.794675026,505271
6/1/17,2017,6,2017,7.41,22244357,5.160140676,1.3293,4.39,17.57832402,2.210268818,2.002830439,0.284652488,1.479329227,0,0.058691067,0,0.058691067,0,0,7.733748181,7.421031761,8.059642225,1294119
7/1/17,2017,7,2017,7.88,18823113,5.40874862,1.2682,4.39,17.25912882,2.163214902,2.064327904,0.237598572,1.479329227,0,0.049664218,0,0.049664218,0,0,7.89567909,7.563048075,8.242939576,1906963
8/1/17,2017,8,2017,8.1,4721188,5.440925676,1.2607,4.39,15.86366704,2.157283452,2.091864062,0.231667122,1.479329227,0,0.012456713,0,0.012456713,0,0,8.173484354,7.857160253,8.502543454,3097967
9/1/17,2017,9,2017,8.1,1563363,5.580811163,1.2291,4.39,14.96080285,2.131898524,2.091864062,0.206282194,1.479329227,0,0.004124886,0,0.004124886,0,0,8.440371612,8.076940872,8.820155314,2328941
10/1/17,2017,10,2017,8.1,466674,5.442220724,1.2604,4.39,14.43606769,2.157045461,2.091864062,0.231429131,1.479329227,0,0.001231305,0,0.001231305,0,0,8.523451311,8.171595735,8.890457214,1843531
11/1/17,2017,11,2017,8.1,744945,5.373580102,1.2765,4.39,14.48645712,2.169738287,2.091864062,0.244121958,1.479329227,0,0.001965515,0,0.001965515,0,0,8.483972477,8.147548623,8.83428775,1548361
12/1/17,2017,12,2017,8.1,829864,5.374422158,1.2763,4.39,14.59129615,2.169581597,2.091864062,0.243965267,1.479329227,0,0,0,1,0,0,8.318202947,7.997176998,8.65211565,1102813
1/1/18,2018,1,2017,8.1,256111,5.519735254,1.2427,4.39,13.57127487,2.142902762,2.091864062,0.217286432,1.479329227,0,0,0,1,0,0,8.648795421,8.256587362,9.059634322,1704620
2/1/18,2018,2,2017,8.1,203302,5.450870153,1.2584,4.39,13.37588714,2.155457402,2.091864062,0.229841073,1.479329227,0,0,0,1,0,0,8.676086803,8.289728072,9.080452527,1290636
3/1/18,2018,3,2017,7.97,167603,5.303777159,1.2933,4.39,13.72945908,2.182813421,2.075684493,0.257197091,1.479329227,0,0,0,1,0,0,8.517816478,8.181550262,8.867903422,2065360
4/1/18,2018,4,2018,7.95,3868945,5.89020655,1.2733,4.8,15.43186112,2.256514976,2.073171929,0.241611956,1.568615918,0,0,0,1,0,0,8.524159921,8.194127147,8.867485342,1628750
5/1/18,2018,5,2018,8.84,20963522,5.831130462,1.2862,4.8,17.41740324,2.266595155,2.179286877,0.251692135,1.568615918,0,0,0,1,0,0,7.982990742,7.604612673,8.380195537,1880624
6/1/18,2018,6,2018,9.1,17602119,5.71297989,1.3128,4.8,17.26371308,2.287065281,2.208274414,0.272162261,1.568615918,0,-0.004817421,0,-0.004817421,0,0,8.091366395,7.743559924,8.454794794,2350703
7/1/18,2018,7,2018,9.07,12569922,5.71123972,1.3132,4.8,16.61789828,2.287369927,2.204972264,0.272466907,1.568615918,0,-0.003440189,0,-0.003440189,0,0,8.261273843,7.939564,8.596019316,3890598
8/1/18,2018,8,2018,8.81,2896245,5.751533742,1.304,4.8,15.43182875,2.280339484,2.17588744,0.265436464,1.568615918,0,-0.000792656,0,-0.000792656,0,0,8.601994851,8.293382121,8.922091654,3300063
9/1/18,2018,9,2018,8.75,1684758,5.753298558,1.3036,4.8,14.87441932,2.280032689,2.1690537,0.265129668,1.568615918,0,-0.000461092,0,-0.000461092,0,0,8.756881927,8.437366861,9.088496726,2812587
10/1/18,2018,10,2018,8.75,1340910,5.765682657,1.3008,4.8,14.81933953,2.27788248,2.1690537,0.26297946,1.568615918,0,-0.000366986,0,-0.000366986,0,0,8.77781906,8.45509249,9.112863938,2672305
11/1/18,2018,11,2018,8.75,1105843,5.679236711,1.3206,4.8,14.63553529,2.292989199,2.1690537,0.278086179,1.568615918,0,-0.000302652,0,-0.000302652,0,0,8.790223097,8.470540785,9.121970373,1286570
12/1/18,2018,12,2018,8.75,715560,5.579526856,1.3442,4.8,14.56591529,2.310702061,2.1690537,0.295799041,1.568615918,0,0,0,1,0,0,8.624013756,8.332913533,8.925283213,1976887
1/1/19,2019,1,2018,8.56,787624,5.639945857,1.3298,4.8,14.55307215,2.299931576,2.14710019,0.285028555,1.568615918,0,0,0,1,0,0,8.656902076,8.359729787,8.964638267,2181934
2/1/19,2019,2,2018,8.63,376162,5.676657584,1.3212,4.8,14.04794284,2.293443435,2.155244505,0.278540415,1.568615918,0,0,0,1,0,0,8.814018868,8.494951417,9.145070382,2300750
3/1/19,2019,3,2018,8.74,207889,5.61251216,1.3363,4.8,13.14496796,2.304807621,2.16791019,0.289904601,1.568615918,0,0,0,1,0,0,9.038037857,8.67373034,9.417646746,2957449
4/1/19,2019,4,2019,8.64,5597056,5.922454396,1.3376,5.07,15.74363461,2.360504884,2.156402583,0.290876963,1.623340818,0,0,0,1,0,0,8.573695382,8.277084838,8.880935008,1732934
5/1/19,2019,5,2019,8.04,26336306,5.885931347,1.3459,5.07,17.50310008,2.366690854,2.084429083,0.297062934,1.623340818,0,0,0,1,0,0,8.092863264,7.728332288,8.474588483,1905045
6/1/19,2019,6,2019,8.28,19557258,5.961675948,1.3288,5.07,17.34454412,2.3539042,2.113842968,0.284276279,1.623340818,0,0.058187313,0,0.058187313,0,0,8.442861818,8.110151989,8.789220692,1485769
7/1/19,2019,7,2019,8.4,13243775,6.045386905,1.3104,5.07,16.71344465,2.339960354,2.128231706,0.270332434,1.623340818,0,0.039403258,0,0.039403258,0,0,8.601080754,8.293822158,8.919722262,2382566
8/1/19,2019,8,2019,8.43,3871824,5.96841332,1.3273,5.07,15.40308336,2.352774724,2.131796772,0.283146804,1.623340818,0,0.011519561,0,0.011519561,0,0,8.857006633,8.561535114,9.16267532,3099076
9/1/19,2019,9,2019,8.56,1423660,5.981482181,1.3244,5.07,14.7064802,2.350587447,2.14710019,0.280959527,1.623340818,0,0.004235714,0,0.004235714,0,0,9.040973505,8.72044966,9.373278341,2810559
10/1/19,2019,10,2019,8.8,473947,6.004149613,1.3194,5.07,14.16107208,2.346805008,2.174751721,0.277177088,1.623340818,0,0.001410101,0,0.001410101,0,0,9.201300233,8.850505063,9.565999383,3563420
11/1/19,2019,11,2019,8.97,307773,5.986001965,1.3234,5.07,13.75804774,2.349832103,2.193885676,0.280204183,1.623340818,0,0.000915695,0,0.000915695,0,0,9.309627905,8.933787191,9.701280082,2215751
12/1/19,2019,12,2019,9.18,496798,6.013721248,1.3173,5.07,14.32390403,2.345212107,2.217027205,0.275584187,1.623340818,0,0,0,1,0,0,9.010381366,8.69175232,9.340690964,2618924
1/1/20,2020,1,2019,9.26,144626,6.055553432,1.3082,5.07,13.3328447,2.338280067,2.225704049,0.268652147,1.623340818,0,0,1,1,0,0,11.09608343,10.52875496,11.69398168,2006645
2/1/20,2020,2,2019,9.3,173703,5.963920048,1.3283,5.07,12.55779233,2.353527849,2.2300144,0.283899929,1.623340818,0,0,1,1,0,0,11.32005728,10.71386096,11.96055253,2243386
3/1/20,2020,3,2019,9.3,199796,5.682021948,1.3942,5.07,13.51999119,2.401948694,2.2300144,0.332320774,1.623340818,0,0,1,1,0,0,10.80298888,10.26347239,11.37086596,3435711
4/1/20,2020,4,2020,9.3,2217338,3.836743772,1.405,3.45,14.91964491,2.024698636,2.2300144,0.340037303,1.238374231,0,0,1,1,0,0,8.221747775,7.762186196,8.708517776,2443551
5/1/20,2020,5,2020,6.9,23137129,3.858438909,1.3971,3.45,17.22910834,2.019059993,1.931521412,0.33439866,1.238374231,0,0,1,1,0,0,7.657667897,7.149610749,8.201827997,2262090
6/1/20,2020,6,2020,7.82,28740074,3.977440419,1.3553,3.45,17.51997808,1.988684166,2.056684555,0.304022832,1.238374231,0,0.237151232,1,0.237151232,0,0,8.363854513,7.484201181,9.346897635,2947259
7/1/20,2020,7,2020,9.22,17391190,3.992464079,1.3502,3.45,16.98093033,1.984914063,2.221375038,0.30025273,1.238374231,0,0.143504924,1,0.143504924,0,0,8.283075546,7.704762718,8.904796036,6007500
8/1/20,2020,8,2020,9.28,4673690,4.074238531,1.3231,3.45,15.58924929,1.964638802,2.227861547,0.279977468,1.238374231,0,0.038565361,1,0.038565361,0,0,8.442624019,8.003167348,8.906211406,8256848
9/1/20,2020,9,2020,9.58,1035875,4.075778769,1.3226,3.45,14.59573549,1.96426083,2.259677592,0.279599496,1.238374231,0,0.008547613,1,0.008547613,0,0,8.635653965,8.161633198,9.137205458,7208050
10/1/20,2020,10,2020,9.77,506121,4.079480097,1.3214,3.45,14.2999421,1.963353114,2.279316466,0.278691781,1.238374231,0,0.004176302,1,0.004176302,0,0,8.707954045,8.222300419,9.222293006,4728571
11/1/20,2020,11,2020,9.9,343834,4.123479691,1.3073,3.45,14.0179035,1.952625275,2.292534757,0.267963942,1.238374231,0,0.002837176,1,0.002837176,0,0,8.810553304,8.313570421,9.337245682,4021354
12/1/20,2020,12,2020,9.9,223489,4.206824567,1.2814,3.45,13.29669812,1.932614564,2.292534757,0.24795323,1.238374231,0,0,1,1,0,0,8.914448497,8.422917931,9.434662983,2527265
1/1/21,2021,1,2020,9.9,71967,4.234583661,1.273,3.45,13.24008597,1.926037653,2.292534757,0.24137632,1.238374231,0,0,1,1,0,0,8.946014551,8.448025678,9.473358558,2113419
2/1/21,2021,2,2020,9.9,191390,4.243918281,1.2702,3.45,13.29669308,1.923835702,2.292534757,0.239174368,1.238374231,0,0,1,1,0,0,8.935100197,8.43760742,9.461925822,2381766
3/1/21,2021,3,2020,9.9,615632,4.286779324,1.2575,3.45,13.92493431,1.913786957,2.292534757,0.229125623,1.238374231,0,0,1,1,0,0,8.781361107,8.294056422,9.297296639,5097557
4/1/21,2021,4,2021,9.9,20312724,9.432972173,1.2506,7.55,17.11116393,2.691458102,2.292534757,0.223623436,2.021547563,1.2,0,1,1,0,0,14.74666523,13.73176242,15.83657864,4063868
5/1/21,2021,5,2021,13.11,26614604,9.726172809,1.2129,7.55,17.52162862,2.660848852,2.573375298,0.193014186,2.021547563,1.2,0,1,1,0,0,14.65720369,13.6153246,15.77881,1995725
6/1/21,2021,6,2021,14.88,18490359,9.657695456,1.2215,7.55,17.14235634,2.667914278,2.700018029,0.200079612,2.021547563,1.2,0.130884435,1,0.130884435,0,0,15.64993495,14.4668041,16.92982515,4467402
7/1/21,2021,7,2021,16.24,12491323,9.414152901,1.2531,7.55,16.62664645,2.693455147,2.787477335,0.225620481,2.021547563,1.2,0.08842012,1,0.08842012,0,0,15.61455387,14.59233227,16.70838411,7129427
8/1/21,2021,8,2021,16.4,4835852,9.364085569,1.2598,7.55,15.58469563,2.698787644,2.797281335,0.230952978,2.021547563,1.2,0.034230691,1,0.034230691,0,0,15.8580726,14.89076022,16.88822215,6896341
9/1/21,2021,9,2021,16.4,1502014,9.311607072,1.2669,7.55,14.79862183,2.704407638,2.797281335,0.236572972,2.021547563,1.2,0.010632041,1,0.010632041,0,0,16.12059618,15.10884032,17.20010375,5351717
10/1/21,2021,10,2021,16.56,1109754,9.476924004,1.2448,7.55,14.76242244,2.68680954,2.806990149,0.218974874,2.021547563,1.2,0.007855419,1,0.007855419,0,0,16.19581485,15.18397151,17.27508634,5451093
11/1/21,2021,11,2021,16.79,1226110,9.390921032,1.2562,7.55,14.37197453,2.695925957,2.820783471,0.228091291,2.021547563,1.2,0.008679048,1,0.008679048,0,0,16.36527809,15.33344184,17.4665499,4720002
12/1/21,2021,12,2021,16.8,759392,9.21918959,1.2796,7.55,13.82864098,2.714382195,2.821378886,0.246547529,2.021547563,1.2,0,1,1,0,0,16.26755712,15.26104603,17.34045059,2069959
1/1/22,2022,1,2021,16.8,430600,9.34776149,1.262,7.55,13.93897432,2.70053243,2.821378886,0.232697764,2.021547563,1.2,0,0,1,0,0,13.66031693,12.70663887,14.6855719,875851
2/1/22,2022,2,2021,16.42,253059,9.277190154,1.2716,7.55,13.60992938,2.708110616,2.798500104,0.24027595,2.021547563,1.2,0,0,1,0,0,13.77671213,12.80098438,14.82681264,2163010
3/1/22,2022,3,2021,15.41,715025,9.320435332,1.2657,7.55,13.99720108,2.703459995,2.735016649,0.235625329,2.021547563,1.2,0,0,1,0,0,13.62503084,12.67457263,14.64676332,965972
4/1/22,2022,4,2022,12.07,12212825,7.861401632,1.2621,6.35,16.57233638,2.527518916,2.490723035,0.232777,1.848454813,-1.2,0,0,1,0,0,7.75998577,7.27858038,8.273231318,579344
5/1/22,2022,5,2022,10.41,25744430,7.716499456,1.2858,6.35,17.47370733,2.546123008,2.342766883,0.251381093,1.848454813,-1.2,0,0,1,0,0,7.504868603,7.027286521,8.014907686,1379193
6/1/22,2022,6,2022,8.48,15662883,7.750253867,1.2802,6.35,17.16517932,2.541758231,2.13771045,0.247016316,1.848454813,-1.2,-0.084207922,0,-0.084207922,0,0,7.517019429,6.967686878,8.109661368,824686
7/1/22,2022,7,2022,7.53,12783300,7.658131368,1.2956,6.35,16.68358694,2.553715824,2.018895042,0.258973908,1.848454813,-1.2,-0.0687265,0,-0.0687265,0,0,7.642954059,7.129676028,8.193183887,353792
8/1/22,2022,8,2022,7.05,6296435,7.68422785,1.2912,6.35,15.98769524,2.550313934,1.953027617,0.255572019,1.848454813,-1.2,-0.033851348,0,-0.033851348,0,0,7.902767604,7.432411014,8.402890488,903631
9/1/22,2022,9,2022,7.26,4479156,7.442150465,1.3332,6.35,15.87077172,2.582323983,1.982379829,0.287582067,1.848454813,-1.2,-0.024081162,0,-0.024081162,0,0,7.880690091,7.411009551,8.380137131,431765
10/1/22,2022,10,2022,7.84,3456535,7.233796296,1.3716,6.35,15.67924768,2.610719857,2.059238834,0.315977942,1.848454813,-1.2,-0.018583273,0,-0.018583273,0,0,7.86793269,7.384951649,8.38250103,434558
11/1/22,2022,11,2022,7.9,2169553,7.378504499,1.3447,6.35,15.11533403,2.590912855,2.066862759,0.29617094,1.848454813,-1.2,-0.011664107,0,-0.011664107,0,0,8.079562357,7.587462445,8.603578384,1315907
12/1/22,2022,12,2022,7.77,1662831,7.307855196,1.3577,6.35,14.75517557,2.600534007,2.050270164,0.305792092,1.848454813,-1.2,0,0,1,0,0,8.046362369,7.538518585,8.588417822,825279
